,YEAR,BOOK,AUTHOR,LANGUAGE,CATEGORY
667,2022,Leironnung ,Koijam Shantibala,MANIPURI (Since 1973),Poetry
668,2021,Manipurida Punshi Warigee Sahitya ,Thokchom Ibohanbi Singh,MANIPURI (Since 1973),Criticism
669,2020,Malangbana Kari Hai ,Irungbam Deven,MANIPURI (Since 1973),Poetry
670,2019,Ei Amadi Adungeigi Eethat ,L. Birmangol Singh Beryl Thanga,MANIPURI (Since 1973),Novel
671,2018,Ngamkheigee Wangmada ,Budhichandra Heisnamba,MANIPURI (Since 1973),Short Stories
672,2017,Chahee Taret Khuntakpa ,Rajen Toijamba,MANIPURI (Since 1973),Play
673,2016,Cheptharaba Eshingpun ,Moirangthem Rajen,MANIPURI (Since 1973),Short Stories
674,2015,Ahingna Yekshilliba Mang ,Kshetri Rajen,MANIPURI (Since 1973),Poetry
675,2014,Khung-Gang Amasung Refugee ,Naorem Bidyasagar Singh,MANIPURI (Since 1973),Poetry
676,2013,Chinglon Amadagi Amada ,Makhonmani Mongsaba,MANIPURI (Since 1973),Travelogue
677,2012,Mathou Kanba DNA ,Jodha C Sanasam,MANIPURI (Since 1973),Novel
678,2011,Nangbu Ngaibada ,Kshetri Bira,MANIPURI (Since 1973),Novel
679,2010,Leikangla ,M. Borkanya,MANIPURI (Since 1973),Novel
680,2009,Khungangi Chithi ,Raghu Leishangthem,MANIPURI (Since 1973),Poetry
681,2008,Edu Ntngthou ,A.O. Memchoubi,MANIPURI (Since 1973),Poetry
682,2007,Imasi Nurabee ,B.M. Maisnamba,MANIPURI (Since 1973),Novel
683,2006,Nungshibi Greece ,Saratchand Thiyam,MANIPURI (Since 1973),Travelogue
684,2005,Pangal Shonbi Eishe Adomgini ,M. Nabakishore Singh,MANIPURI (Since 1973),Short stories
685,2004,Lanthengnariba Lanmee ,Birendrajit Naorem,MANIPURI (Since 1973),Poetry
686,2003,Leiyee Khara Punsi Khara ,Sudhir Naoroibam,MANIPURI (Since 1973),Short stories
687,2002,Mei Mamgera Budhi Mamgera ,Rajkumar Bhubonsana,MANIPURI (Since 1973),Poems
688,2001,Khongji Makhol ,Ningombam Sunita,MANIPURI (Since 1973),Short stories
689,2000,Eemagi Phanek Machet ,Laitonjam Premchand Singh,MANIPURI (Since 1973),Short stories
690,1999,Hi Nangbu Hondeda ,Sagolsem Lanchenba Meetei,MANIPURI (Since 1973),Poetry
691,1998,Nongdi Tarak-Khidare ,Keisham Priyokumar,MANIPURI (Since 1973),Short stories
692,1997,Bhut Amasung Maikhum ,Thangjam Ibopishak Singh,MANIPURI (Since 1973),Poetry
693,1996,Praloigi Meiriraktagi ,R.K. Madhubir,MANIPURI (Since 1973),Poetry
694,1995,Leipkalei ,Arambam Somorendra Singh,MANIPURI (Since 1973),Play
695,1994,Mayai Karaba Shamu ,Rajkumar Mani Singh,MANIPURI (Since 1973),Short stories
696,1993,Punshigi Marudyan ,Arambam Biren Singh,MANIPURI (Since 1973),Novel
697,1992,Tharoshangbi ,A. Chitreshwar Sharma,MANIPURI (Since 1973),Novel
698,1991,Numitti Asum Thengjillakali ,Yumlemban Ibomcha Singh,MANIPURI (Since 1973),Short stories
699,1990,Mapal Naidabasida Ei ,Nongthombam Biren Singh,MANIPURI (Since 1973),Poetry
700,1989,Tatkhrabha Punshi Leipul ,Nilabir Sharma Shastri,MANIPURI (Since 1973),Short stories
701,1988,Mamangthong Lollabadi Maninghthongda Lakaudana ,E. Sonamani Singh,MANIPURI (Since 1973),Short stories
702,1987,Tirtha Yatra ,E. Nilakanta Singh,MANIPURI (Since 1973),Poetry
703,1986,Mangi Isei ,Khumanthem Prakash Singh,MANIPURI (Since 1973),Short stories
704,1985,Vir Tikendrajit Road ,H. Guno Singh,MANIPURI (Since 1973),Novel
705,1984,Chekla Paikhrabada ,Lamabam Viramani Singh,MANIPURI (Since 1973),Short stories
706,1983,Karnagi Mama Amasung Karnagi Aroiba Yahip ,N. Ibobi Singh,MANIPURI (Since 1973),Play
707,1982,Pistal Ama Kundallei Ama ,E. Dinamani Singh,MANIPURI (Since 1973),Short stories
708,1981,Kalenthagi Leipaklei ,E. Rajanikanta Singh,MANIPURI (Since 1973),Short stories
709,1979,Boro Saheb Ongbi Sanatombi ,M.K. Binodini Devi,MANIPURI (Since 1973),Novel
710,1978,Ngabongkhao ,G.C. Tongbra,MANIPURI (Since 1973),Drama
711,1977,Aseibagi Nitaipod ,A. Minaketan Singh,MANIPURI (Since 1973),Poetry
712,1976,Mamang Leikai Thambal Shatley ,L. Samarendra Singh,MANIPURI (Since 1973),Poetry
713,1974,Ilisa Amagi Mahao ,N. Kunjamohan Singh,MANIPURI (Since 1973),Short stories
714,1973,Imphal Amasung Magi Nungshiki Phibam Ishing ,Pacha Meitai,MANIPURI (Since 1973),Novel
715,2023,Ringan ,Krushnat Khot,MARATHI,Novel
716,2022,Ujavya Sondechya Bahulya ,Praveen Dashrath Bandekar,MARATHI,Novel
717,2021,Baluchya Awasthantarachi Diary ,Kiran Gurav,MARATHI,Short Stories
718,2020,Udya ,Nanda Khare,MARATHI,Novel
719,2019,Kadachit Ajoonahi ,Anuradha Patil,MARATHI,Poetry
720,2018,Sarjanprerana ani Kavitwashodh ,Ma. Su. Patil,MARATHI,Literary Criticism
721,2017,Bolave Te Amhi ,Shrikant Deshmukh,MARATHI,Poetry
722,2016,Aalok ,Asaram Lomate,MARATHI,Short Stories
723,2015,Chalat-Chitravyooh ,Arun Khopkar,MARATHI,Memoirs
724,2014,Chaar Nagarantale Maaze Viswa ,Jayant Vishnu Naralikar,MARATHI,Autobiography
725,2013,Vachanaryachi Rojanishee ,Satish Kalasekar,MARATHI,Essays
726,2012,Phoenixchya Rakhetun Uthala Mor ,Jayant Pawar,MARATHI,Short Stories
727,2011,Varyane Halate Raan ,Grace Manik Godghate,MARATHI,Essays
728,2010,Rujuvat-Asvad : Samiksha : Mimamsa ,Ashok R. Kelkar,MARATHI,Criticism
729,2009,Chitralipi ,Vasant Abaji Dahake,MARATHI,Poetry
730,2008,Utsukatene Mee Zopalo ,Shyam Manohar,MARATHI,Novel
731,2007,Maharshi Vitthal Ramaji Shinde: Jeevan Va Karya ,G.M. Pawar,MARATHI,Biography
732,2006,Bhoomi ,Asha Bage,MARATHI,Novel
733,2005,Bhijaki Vahi ,Arun Kolatkar,MARATHI,Poetry
734,2004,Baromas ,Sadanand Deshmukh,MARATHI,Novel
735,2003,Dangora : Eka Nagaricha ,T.V. Saradeshmukh,MARATHI,Novel
736,2002,Yugant ,Mahesh Elkunchwar,MARATHI,Play
737,2001,Tanakat ,Rajan Gavas,MARATHI,Novel
738,2000,Panzad ,Namdeo Dhondo Mahanor,MARATHI,Poetry
739,1999,Tamrapat ,Ranganath Pathare,MARATHI,Novel
740,1998,Tukaram Darshan ,Sadanand Shridhar More,MARATHI,Criticism
741,1997,Dnyaneshwaritil Laukik Srishti ,Madhukar Vasudev Dhond,MARATHI,Criticism
742,1996,Eka Mungiche Mahabharat ,Gangadhar Gadgil,MARATHI,Autobiography
743,1995,Raghavavel ,Namdeo Kamble,MARATHI,Novel
744,1994,Ekun Kavita-I ,Dilip Chitre,MARATHI,Poetry
745,1993,Mardhekaranchi Kavita: Swarup ani Sandarbha ,Vijaya Rajadhyaksha,MARATHI,Literary criticism
746,1992,Jhada Jhadti ,Vishwas Patil,MARATHI,Novel
747,1991,Teeka Svayamvara ,Bhalchandra Nemade,MARATHI,Criticism
748,1990,Zombi ,Anand Ratan Yadav,MARATHI,Autobiographical Novel
749,1989,Haravlele Diwas ,Prabhakar Waman Urdhwareshe,MARATHI,Autobiography
750,1988,Uchalya ,Laxman Gaikwad,MARATHI,Autobiography
751,1987,Shri Vithal: Ek Mahasamanvaya ,R.C. Dhere,MARATHI,Literary criticism
752,1986,Khoon Gathee ,N.G. Deshpande,MARATHI,Poetry
753,1985,Ek Zad Ani Don Pakshi ,Vishram Bedekar,MARATHI,Autobiography
754,1984,Garbharesheem ,Indira Sant,MARATHI,Poetry
755,1983,Sattantar ,Vyankatesh Madgulkar,MARATHI,Novel
756,1982,Saundaryanubhav ,Prabhakar Padhye,MARATHI,Literary criticism
757,1981,Upara ,Laxman Mane,MARATHI,Autobiography
758,1980,Salam ,Mangesh K. Padgaonkar,MARATHI,Poetry
759,1979,"Srishti, Saundarya ani Sahityamulya ",Saratchandra Muktibodh,MARATHI,Literary criticism
760,1978,Nakshtranche Dene ,C.T. Khanolkar Arati Prabhu,MARATHI,Poetry
761,1977,Dashpadi ,A.R. Deshpande ‘Anil’,MARATHI,Poetry
762,1976,Smaran Gatha ,G.N. Dandekar,MARATHI,Autobiographical Novel
763,1975,Soundarya Mimansa ,R.B. Patankar,MARATHI,Aesthetics
764,1974,Natasamrat ,V.V. Shirwadkar,MARATHI,Play
765,1973,Kajalmaya ,G.A. Kulkarni,MARATHI,Short Stories
766,1972,Jevha Manus Jaga Hoto ,Godavari Parulekar,MARATHI,Autobiography
767,1971,Pais ,Durga Bhagwat,MARATHI,Essays
768,1970,Adarsha Bharat-Sevaka ,N.R. Phatak,MARATHI,Biography
769,1969,Natyacharya Deval ,S.N. Banhatti,MARATHI,Biography
770,1968,Yugant ,Iravati Karve,MARATHI,Interpretation of the Mahabharata
771,1967,Bhasha: Itihas ani Bhoogol ,N.G. Kalelkar,MARATHI,Linguistic study
772,1966,Sri Shiv Chhatrapati ,T.S. Shejwalkar,MARATHI,Historical research
773,1965,Vyakti ani Valli ,P.L. Deshpande,MARATHI,Sketches
774,1964,Swami ,Ranjit Desai,MARATHI,Novel
775,1963,Ratha-Chakra ,Na. Pendse,MARATHI,Novel
776,1962,Anamikachi Chintanika ,P.Y. Deshpande,MARATHI,Philosophical reflections
777,1961,Dr. Ketkar ,D.N. Gokhale,MARATHI,Biography
778,1960,Yayati ,V.S. Khandekar,MARATHI,Novel
779,1959,Bharadya Sahityasastra ,G.T. Deshpande,MARATHI,A treatise on poetics
780,1958,Bahurupee ,Chintaman Ganesh Kolhatkar,MARATHI,Autobiography
781,1956,Saundarya ani Sahitya ,B.S. Mardhekar,MARATHI,A study of Aesthetics
782,1955,Vaidik Samskriticha Vikas ,Tarkateertha Shastri Laxman Joshi,MARATHI,Cultural history
783,2023,Loksahitya Ra Loksanskritiko Parichaya ,Judhabir Rana,NEPALI (Since 1977),Essays
784,2022,Saino ,K.B. Nepali,NEPALI (Since 1977),Drama
785,2021,Usha Anirudha ,Chhabilal Upadhyaya,NEPALI (Since 1977),Epic Poetry
786,2020,Kirayako Kokh ,Shankar Dev Dhakal,NEPALI (Since 1977),Novel
787,2019,Biswa Euta Pallo Gaon ,Salon Karthak,NEPALI (Since 1977),Travelogue
788,2018,Kina Royeu Upamaa ,Lok Nath Upadhyay Chapagain,NEPALI (Since 1977),Short Stories
789,2017,Kriti Vimarsha ,Bina Hangkhim,NEPALI (Since 1977),Literary Criticism
790,2016,Janmabhumi Mero Swadesh ,Gita Upadhyay,NEPALI (Since 1977),Novel
791,2015,Samayaka Prativimbaharu ,Gupta Pradhan,NEPALI (Since 1977),Short Stories
792,2014,Satta Grahan ,Nanda Hankhim,NEPALI (Since 1977),Short Stories
793,2013,Manka Lahar Ra Raharharu ,Man Bahadur Pradhan,NEPALI (Since 1977),Travelogue
794,2012,Ekantavas ,Uday Thulung,NEPALI (Since 1977),Short Stories
795,2010,Akashlay Pani Thawan Khoji Rahechha ,Gopi Narayan Pradhan,NEPALI (Since 1977),Poetry
796,2009,Gairi Gaon Ki Chameli ,Samiran Chhetri ‘Priyadarshi’,NEPALI (Since 1977),Short Stories
797,2008,Kehi Namileka Rekhaharu ,Haiman Das Rai ‘Kiraf ’,NEPALI (Since 1977),Short Stories
798,2007,Curfew ,Lakshman Srimal,NEPALI (Since 1977),Play
799,2006,Droha ,Bhim Dahal,NEPALI (Since 1977),Novel
800,2005,Jeevan GoretoMa ,Krishna Singh Moktan,NEPALI (Since 1977),Novel
801,2004,Shanti Shandeha ,Jos Yonjan ‘Pyasi’,NEPALI (Since 1977),Poetry
802,2003,Athah ,Bindya Subha,NEPALI (Since 1977),Novel
803,2002,Udasin Rukhharu ,Prem Pradhan,NEPALI (Since 1977),Novel
804,2001,Aahat Anubhuti ,Lakhi Devi Sundas,NEPALI (Since 1977),Short stories
805,2000,Nisansmaran ,Ramlal Adhikari,NEPALI (Since 1977),Essays
806,1999,Bishaun Shatabdi Ki Monalisa ,Bikram Bir Thapa,NEPALI (Since 1977),Short stories
807,1998,Adim Busty ,Man Prasad Subba,NEPALI (Since 1977),Poetry
808,1997,Veer Jatiko Amar Kahani ,Mani Prasad Rai,NEPALI (Since 1977),Biographical Essays
809,1996,Nihsabda ,MohanThakuri,NEPALI (Since 1977),Poetry
810,1995,Dr. Parasmani Ko Jiwan Yatra ,Nagendramani Pradhan,NEPALI (Since 1977),Biography
811,1994,Paryavekshan ,Jiwan Namdung,NEPALI (Since 1977),Essays
812,1993,Mrigatrishna ,Sanu Lama,NEPALI (Since 1977),Short stories
813,1992,Indra Dhanush ,R.P. Lama,NEPALI (Since 1977),Essays
814,1991,Hypocret Champ-Gurans Ra Anya Kavita ,Girmee Sherpa,NEPALI (Since 1977),Poetry
